"Participant_id","Gender","Women_Protection","Religion_Level","Age","Highest_Edu_Lvl"
58982,1,2,9,65,212
58987,0,2,7,22,620
59006,0,2,5,47,322
59010,0,2,3,45,422
59011,0,4,2,64,322
59037,0,3,0,60,720
59128,0,3,88,32,322
59134,1,3,9,68,322
59148,1,4,0,40,423
59166,1,2,8,84,322
59200,0,2,0,59,322
59218,0,3,3,27,322
59224,1,5,5,72,720
59228,1,3,8,47,313
59270,0,2,2,58,322
59274,1,3,6,55,322
59287,1,2,8,80,212
59353,0,3,0,21,313
59357,0,2,3,67,710
59402,1,3,3,37,322
59405,0,2,6,54,322
59415,0,3,1,30,720
59417,1,3,9,61,322
59430,1,2,8,62,212
59434,0,2,1,67,620
59435,1,3,3,88,610
59448,1,2,10,50,720
59503,0,3,7,70,800
59519,0,2,0,50,322
59522,1,3,9,74,322
59537,1,3,5,49,322
59591,0,4,0,42,720
59603,1,2,5,54,322
59605,1,2,8,81,423
59634,1,2,7,49,520
59646,1,2,4,40,610
59656,1,4,6,54,322
59701,0,2,0,18,212
59727,1,5,5,38,322
59741,1,2,5,65,212
59745,1,4,7,54,322
59753,1,4,7,56,322
59754,1,3,3,48,720
59755,1,2,5,68,313
59775,0,2,2,61,610
59787,1,4,6,57,322
59803,1,2,5,58,322
59866,1,1,10,77,212
59903,1,3,0,42,710
59916,1,2,7,72,322
59935,1,2,4,20,322
59959,0,3,1,61,610
59969,1,2,5,29,322
59994,0,3,3,58,322
59999,0,1,8,31,423
60000,1,2,9,84,212
60008,0,2,0,77,720
60017,0,2,4,39,322
60030,0,4,0,38,720
60036,0,4,1,57,313
60043,1,2,4,71,212
60050,1,2,7,77,212
60058,1,3,10,44,322
60062,1,2,5,52,322
60071,1,1,7,52,322
60076,1,5,0,35,610
60133,1,2,8,58,423
60135,1,2,9,55,423
60139,1,2,0,57,212
60148,1,3,5,34,610
60156,0,1,5,25,322
60160,1,4,7,51,423
60166,0,2,0,46,322
60175,1,4,0,57,322
60208,0,2,0,28,322
60216,1,3,0,61,720
60217,1,2,6,40,313
60239,0,2,6,82,322
60268,1,3,5,77,322
60311,0,2,0,19,212
60364,1,2,3,39,423
60375,0,3,4,76,322
60381,1,4,3,68,322
60383,1,2,4,82,212
60384,1,2,7,47,212
60385,1,3,0,28,610
60387,0,3,4,61,322
60391,1,3,10,43,800
60403,1,3,3,66,322
60414,1,3,9,72,322
60436,1,1,10,72,313
60448,1,3,3,23,322
60462,0,3,6,37,322
60464,1,2,6,73,322
60476,0,2,3,62,322
60494,1,3,9,51,720
60504,1,2,6,51,800
60560,0,2,5,57,423
60564,1,2,0,62,322
60567,1,2,3,49,322
60589,1,2,6,46,212
60596,1,2,0,51,322
60598,0,3,7,71,322
60618,1,3,0,74,313
60628,1,3,10,47,610
60631,0,2,1,16,213
60634,0,2,4,81,322
60670,0,2,0,34,520
60685,0,2,5,68,322
60688,1,2,0,79,423
60709,0,2,0,26,322
60726,1,1,2,21,5555
60728,1,4,0,65,322
60788,1,5,0,29,520
60833,1,2,2,62,610
60845,1,4,2,63,800
60864,1,2,3,25,322
60873,1,4,10,80,720
60883,0,3,3,53,322
60901,0,2,2,35,322
60916,1,1,9,83,212
60917,0,5,7,49,422
60946,1,2,5,48,610
60956,1,2,8,58,322
60971,1,2,7,42,322
60987,0,2,6,84,322
60995,0,2,5,77,322
61004,1,3,4,46,520
61011,1,3,2,45,423
61014,0,2,5,58,322
61015,1,4,7,29,620
61052,1,2,5,65,322
61059,1,5,2,24,620
61060,0,2,0,53,322
61079,1,3,0,37,620
61122,1,3,1,54,520
61138,1,1,5,63,322
61141,1,2,4,33,423
61165,0,1,6,66,322
61252,1,2,0,21,322
61276,1,4,0,36,322
61291,1,1,0,35,322
61302,1,2,10,66,322
61311,1,2,8,87,212
61321,0,2,8,76,322
61327,1,2,6,82,423
61334,1,3,6,33,322
61354,0,4,6,61,322
61360,1,2,6,82,212
61379,1,4,5,27,322
61384,1,1,2,69,423
61411,0,2,6,67,720
61416,0,2,3,67,322
61423,1,3,8,63,313
61433,1,3,3,44,322
61447,1,2,9,51,423
61455,0,2,0,47,620
61482,1,3,8,41,322
61492,1,2,7,49,322
61497,1,2,0,23,322
61503,1,3,5,43,322
61510,1,3,8,78,322
61530,0,3,1,29,322
61541,0,2,4,69,322
61556,1,3,5,46,322
61577,1,2,5,54,322
61578,1,3,8,81,212
61579,0,2,0,35,322
61608,1,3,0,67,620
61612,1,2,6,58,212
61616,0,3,0,42,620
61638,1,3,5,45,322
61647,1,2,6,52,322
61649,1,3,6,84,212
61652,1,2,5,41,423
61667,0,2,0,23,322
61679,0,2,5,32,322
61682,1,1,7,55,212
61693,0,2,4,41,520
61695,1,1,8,73,322
61696,0,1,2,29,423
61697,0,3,0,16,213
61715,0,2,0,25,620
61726,1,3,9,90,5555
61727,1,2,9,81,322
61745,0,2,5,49,322
61746,1,2,0,78,322
61760,1,3,0,15,212
61819,1,3,0,76,423
61820,0,2,6,78,322
61824,1,2,8,73,322
61832,1,3,8,34,322
61833,0,3,2,48,322
61842,0,3,8,58,213
61847,1,3,5,51,322
61850,0,2,5,67,322
61929,0,2,2,64,423
61945,0,1,10,65,720
61947,1,1,5,71,610
61957,0,3,3,79,322
61959,1,3,5,85,212
61979,1,3,4,27,322
61997,1,1,8,55,113
61998,1,1,7,18,322
62006,0,2,10,46,423
62009,1,3,7,67,212
62026,0,2,3,54,322
62027,1,4,5,39,322
62043,1,5,10,53,322
62081,1,2,0,19,212
62110,0,4,6,53,720
62128,1,2,3,24,322
62137,0,2,0,28,212
62142,0,3,5,68,322
62151,0,3,3,33,423
62158,1,4,8,55,322
62159,1,1,7,63,720
62218,1,2,4,68,212
62219,1,4,5,64,322
62252,0,1,0,69,423
62256,1,5,0,75,322
62257,0,3,7,53,423
62272,0,1,0,49,313
62287,0,2,8,43,423
62288,1,2,5,86,322
62298,1,3,8,62,322
62316,1,4,5,58,720
62320,1,2,5,79,322
62343,0,2,7,77,322
62348,1,3,9,36,322
62363,0,3,0,62,322
62424,0,2,4,78,322
62466,0,2,4,17,322
62471,1,5,6,29,720
62499,0,2,8,49,322
62506,1,2,7,68,322
62507,1,2,8,54,422
62541,1,2,5,58,423
62559,1,5,3,58,313
62587,0,2,3,78,423
62595,0,2,6,56,322
62638,0,2,8,53,322
62669,1,2,10,78,113
62678,1,3,10,57,322
62680,1,5,2,25,620
62681,0,2,5,54,322
62688,0,2,3,60,322
62691,1,2,7,58,213
62703,1,5,3,45,423
62714,0,2,7,59,322
62716,1,2,7,87,313
62742,0,2,10,74,212
62747,1,2,6,66,212
62751,1,2,2,51,322
62762,1,2,7,45,313
62788,0,1,5,42,322
62796,0,4,0,68,5555
62799,1,2,0,60,322
62802,1,4,3,67,322
62811,0,5,8,19,313
62840,1,2,5,69,322
62854,0,1,4,46,313
62866,0,2,6,78,423
62867,0,3,6,56,423
62870,1,2,7,75,212
62921,1,4,3,32,620
62929,1,3,6,38,423
62931,1,1,0,49,610
62937,0,2,0,57,322
62942,1,3,3,42,720
62945,1,3,4,32,5555
63020,1,2,2,39,322
63032,1,3,2,61,322
63059,0,3,4,74,322
63080,1,2,7,70,322
63082,1,3,5,39,720
63087,1,4,8,68,322
63088,0,3,7,67,322
63090,1,1,3,57,322
63098,1,3,2,36,423
63117,1,4,0,74,610
63118,0,5,0,76,322
63156,1,2,0,83,212
63177,0,3,3,75,322
63191,0,2,0,60,313
63195,0,2,1,21,212
63207,0,2,0,31,322
63208,1,3,5,57,212
63220,0,4,2,18,213
63235,1,2,5,63,322
63245,0,1,8,64,423
63263,0,2,2,17,212
63299,0,3,0,17,212
63311,1,2,8,46,610
63317,1,2,5,51,212
63332,1,3,2,48,322
63336,1,4,8,56,520
63339,0,3,2,28,620
63352,0,3,2,65,322
63382,0,2,5,54,322
63392,0,2,6,34,322
63393,0,2,5,42,423
63415,0,3,0,51,322
63436,0,3,8,81,322
63457,1,2,7,78,422
63459,1,1,9,86,212
63461,1,5,0,26,620
63529,0,3,2,67,720
63531,1,2,8,67,610
63535,1,3,8,36,422
63540,1,2,10,55,322
63556,1,3,2,22,322
63590,1,3,4,37,313
63595,1,3,5,61,322
63601,1,1,7,82,212
63683,0,2,7,43,423
63700,0,2,6,44,322
63711,1,3,7,69,322
63714,0,2,0,42,423
63724,0,2,8,75,212
63746,1,2,2,78,322
63750,0,2,6,48,322
63755,0,2,4,46,423
63771,0,3,3,23,322
63794,1,1,9,58,322
63805,1,3,0,65,5555
63808,0,2,4,47,520
63815,0,2,2,30,322
63830,1,3,6,83,212
63847,0,2,8,82,322
63851,0,3,7,64,322
63884,1,1,6,27,212
63903,0,2,5,79,212
63944,1,2,7,75,212
